Journal,scientific society or research organisation?,"Publisher (For-profit, not-For-profit)",Economic model,Policy towards PCI recommended articles,Instructions to PCI authors interested to submit
Acarologia,Journal of a society or a research organisation,Not-for-profit,Diamond OA,No further peer-review,Normal submission procedure with the recommendation link in the cover letter
Advances in Cognitive Psychology,Journal of a society or a research organisation,For-profit,APC based OA,No further peer-review,Normal submission procedure with the recommendation link in the cover letter
Advances in Methods and Practices in Psychological Science,Journal of a society or a research organisation,For-profit,APC based OA,Answers within 5 days,"Until Jan 1, 2026, send a pre-submission email inquiry to David Sbarra: ampps.editor2@gmail.com. After Jan 1, 2026, send a pre-submission email inquiry to Felix Thoemmes: felix.thoemmes@cornell.edu"
Agronomy for Sustainable Development,Journal of a society or a research organisation,For-profit,Hybrid,Answers within 10 days,Normal submission procedure with the recommendation link in the cover letter
Animal,Journal of a society or a research organisation,For-profit,APC based OA,Answers within 10 days,Normal submission procedure plus 1) a pdf explaining the service provided by PCI that authors can copy from https://www.dropbox.com/s/0heojcea46q7bz1/PCI%20animal.pdf?dl=0 and 2) the pdf of the PCI recommendation with review reports.
Animal Welfare,Journal of a society or a research organisation,Not-for-profit,APC based OA,Answers within 5 days,Normal submission procedure with the recommendation link in the cover letter
Annals of Forest Science,Journal of a society or a research organisation,For-profit,APC based OA,Answers within 5 days,Normal submission procedure with the recommendation link in the cover letter
Anthropologica et Praehistorica,Journal of a society or a research organisation,Not-for-profit,Diamond OA,No further peer-review,send a presubmission inquiry to Dr. Anne Hauzeur and Dr. Kévin Salesse
Aquatic Living Resources,Journal of a society or a research organisation,For-profit,Diamond OA,Answers within 10 days,"Authors are invited to : 1) Respond to the author question in Editorial Manager, and provide the DOI of the PCI recommendation in the corresponding field; 2) Include also PCI recommendation information in the cover letter for the attention of the Editor in charge of the submission."
Archeologia e Calcolatori,Journal of a society or a research organisation,For-profit,Diamond OA,Answers within 5 days,Normal submission procedure
Archeologické rozhledy,Journal of a society or a research organisation,Not-for-profit,Diamond OA,Answers within 5 days,Send a presubmission inquiry to rozhledy@arup.cas.cz
"Archéologie, société et environnement [Archaeology, Society and Environment]",Not a journal of a Society or a research organisation,Not-for-profit,Diamond OA,Answers within 5 days,Submit your paper attaching reference of the recommendation in the cover letter at : https://www.openscience.fr/spip.php?page=proposition&id_rubrique=458&lang=fr 
ArcheoSciences,Journal of a society or a research organisation,Not-for-profit,Subscription based,No further peer-review,Reference of the recommendation in the cover letter
Arqueologia,Journal of a society or a research organisation,Not-for-profit,Diamond OA,No further peer-review,Send a pre-submission inquire to crandell@kvasirpublishing.com and please use one of the DOT (Word template) templates on the following page - https://journals.kvasirpublishing.com/arq/issue/view/3 (or be prepared to reformat the paper and bibliography afterwards). It is also recommended that authors prepare the bibliography in a citation software such as EndNote or Mendeley a send us the exported RIS or ENL bibliography file. (Or be prepared to format the bibliography manually.)
Belgian Journal of Zoology,Journal of a society or a research organisation,Not-for-profit,Diamond OA,No further peer-review,Normal submission with the recommendation link in the cover letter
Botany Letters,Journal of a society or a research organisation,For-profit,Subscription based,Answers within 5 days,Reference of the recommendation in the cover letter
Brazilian Journal of Motor Behavior,Journal of a society or a research organisation,Not-for-profit,Diamond OA,Answers within 5 days,Normal submission with the recommendation link in the cover letter
Bulletin of the History of Archaeology,Not a journal of a Society or a research organisation,For-profit,APC based OA,Answers within 5 days,Send a presubmission inquiry to journal editors
Bulletins et Mémoires de la Société d'Anthropologie de Paris (BMSAP),Journal of a society or a research organisation,Not-for-profit,Diamond OA,Answers within 5 days,Normal submission procedure with the recommendation link in the cover letter
Cadernos de Linguística,Journal of a society or a research organisation,Not-for-profit,Diamond OA,No further peer-review,Reference of the recommendation in the manuscript
Cambridge Journal of Human Behaviour,Not a journal of a Society or a research organisation,Not-for-profit,Diamond OA,Answers within 5 days,Send the DOI of the PCI recommendation to cjhumanbehaviour@gmail.com immediately after having submitted your manuscript and cover letter
Clinical Psychological Science,Journal of a learned society or research organisation,For profit,Hybrid,Answers within 5 days,Alert in cover letter
Collabra: Psychology,Journal of a society or a research organisation,Not-for-profit,Hybrid,Answers within 5 days,Send a presubmission inquiry to editorialoffice@collabra.org
Communications in Kinesiology,Journal of a society or a research organisation,Not-for-profit,Diamond OA,No further peer-review,Normal submission procedure with the recommendation link in the cover letter
Computo,Journal of a society or a research organisation,Not-for-profit,Diamond OA,No further peer-review,reference of the recommendation + git repository to meet Computo's format and reproducibility constraints (follow template as described in https://computo.sfds.asso.fr/submit/)
Ecologica Montenegrina,Journal of a society or a research organisation,Not-for-profit,APC based OA,Answers within 5 days,Send a presubmission inquiry to ecologmontenegrina@gmail.com
Ecosistemas,Journal of a society or a research organisation,Not-for-profit,Diamond OA,No further peer-review,Normal submission procedure with the recommendation link in the cover letter
Europe's Journal of Psychology,Not a journal of a Society or a research organisation,Not-for-profit,Diamond OA,Answers within 5 days,send a presubmission inquiry to johannes.a.karl@gmail.com
European Rehabilitation Journal,Journal of a society or a research organisation,Not-for-profit,Diamond OA,Answers within 7 days,Normal submission procedure with the recommendation link in the cover letter
European Scientific Journal,Not a journal of a Society or a research organisation*,Not-for-profit,APC based OA,Answers within 5 days,Contact the journal (contact@eujournal.org) prior to submission
European zoological journal,Journal of a society or a research organisation,For-profit,APC based OA,Answers within 5 days,Send a specific email to the EiC (e.olmo@staff.univpm.it)
